id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2008004,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,1,7.72
2005005,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.90,2.81,0.24,2,7.69
2014002,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1,7.66
1998001,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.10,1.89,1.45,0,7.60
2016000,FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1,7.59
1997003,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0,7.58
2014003,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0,7.55
2010008,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,1,7.51
1988001,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.70,0,7.46
2015003,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,1,7.39
2008005,Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.00,1,7.38
2011006,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,1,7.32
2003000,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1,7.20
2009007,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.00,1,7.20
2011007,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1,7.17
2015004,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1,7.16
1998002,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.40,0,7.16
2006004,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.60,1,7.15
